sport,title,event_id,market_id,market_name,liquidity,volume,end_date,token_id,outcome
epl,AFC Bournemouth vs. Manchester United FC,251246,1520611,Will Manchester United FC win on 2026-03-20?,16964.2122,1906.8881249999997,2026-03-20T20:00:00Z,17302722489436708270196331160675858429400195634505670995989224419752199965007,NO
epl,AFC Bournemouth vs. Manchester United FC - More Markets,251344,1521093,AFC Bournemouth vs. Manchester United FC: Both Teams to Score,1466.8637,,2026-03-20T20:00:00Z,79022137376896835055135852256488469040137881974170706221246880630606261866734,YES
epl,AFC Bournemouth vs. Manchester United FC - More Markets,251344,1521093,AFC Bournemouth vs. Manchester United FC: Both Teams to Score,1466.8637,,2026-03-20T20:00:00Z,50300277916397437285887189269472633907365101782157172995531032243038291302399,NO
epl,Brighton & Hove Albion FC vs. Liverpool FC,253450,1530201,Will Brighton & Hove Albion FC win on 2026-03-21?,4535.653,,2026-03-21T12:30:00Z,100464054121002033210929966097122721185902091676775506635237858654025169363262,YES
epl,Brighton & Hove Albion FC vs. Liverpool FC,253450,1530201,Will Brighton & Hove Albion FC win on 2026-03-21?,4535.653,,2026-03-21T12:30:00Z,91595611711857061266848005839241280172428276017567711020306849111847225224506,NO
epl,Brighton & Hove Albion FC vs. Liverpool FC,253450,1530206,Will Brighton & Hove Albion FC vs. Liverpool FC end in a draw?,4749.7082,46.24205,2026-03-21T12:30:00Z,71054960507984884736173544280423585166770697935206743085530811742358937918796,YES
epl,Brighton & Hove Albion FC vs. Liverpool FC,253450,1530206,Will Brighton & Hove Albion FC vs. Liverpool FC end in a draw?,4749.7082,46.24205,2026-03-21T12:30:00Z,35311937680826141555591390091964692528220546828175313483953391590030395120953,NO
epl,Brighton & Hove Albion FC vs. Liverpool FC,253450,1530209,Will Liverpool FC win on 2026-03-21?,4237.5669,364.36720099999997,2026-03-21T12:30:00Z,35083807819338446925002466154655205330091854330432756866206371119620373615428,YES
epl,Brighton & Hove Albion FC vs. Liverpool FC,253450,1530209,Will Liverpool FC win on 2026-03-21?,4237.5669,364.36720099999997,2026-03-21T12:30:00Z,66220644564490923653458867899515751048168076315998022555713235042944085941855,NO
epl,Manchester City FC vs. Crystal Palace FC,253455,1530214,Will Manchester City FC win on 2026-03-21?,5936.1391,67.660876,2026-03-21T15:00:00Z,59926179825727217606167341176846116057970189763068493202217393131144123674309,YES
epl,Manchester City FC vs. Crystal Palace FC,253455,1530214,Will Manchester City FC win on 2026-03-21?,5936.1391,67.660876,2026-03-21T15:00:00Z,47219759754952929511555041724310925705098914006324582575339010376090041798290,NO
epl,Manchester City FC vs. Crystal Palace FC,253455,1530219,Will Manchester City FC vs. Crystal Palace FC end in a draw?,655.3348,,2026-03-21T15:00:00Z,32246936252145176064268879083356302397903981456046560618741718375991557154603,YES
epl,Manchester City FC vs. Crystal Palace FC,253455,1530219,Will Manchester City FC vs. Crystal Palace FC end in a draw?,655.3348,,2026-03-21T15:00:00Z,75338707066165156757244001081122408919578505995569549171004710891865691984299,NO
epl,Manchester City FC vs. Crystal Palace FC,253455,1530224,Will Crystal Palace FC win on 2026-03-21?,1029.9383,,2026-03-21T15:00:00Z,47798652524102667635886769882234495418506879283040748965001754646341968655128,YES
epl,Manchester City FC vs. Crystal Palace FC,253455,1530224,Will Crystal Palace FC win on 2026-03-21?,1029.9383,,2026-03-21T15:00:00Z,88639627857834836327482563640281140981699901058586211983731514629963735119188,NO
epl,Fulham FC vs. Burnley FC,253464,1530238,Will Fulham FC win on 2026-03-21?,2280.1201,193.662372,2026-03-21T15:00:00Z,100424505911492726143069668369640898890012859227903329249368753635028896002613,YES
epl,Fulham FC vs. Burnley FC,253464,1530238,Will Fulham FC win on 2026-03-21?,2280.1201,193.662372,2026-03-21T15:00:00Z,23394403698797536060174865791232285383368031974218761200893891132375654805462,NO
epl,Fulham FC vs. Burnley FC,253464,1530243,Will Fulham FC vs. Burnley FC end in a draw?,3800.7816,37.199996999999996,2026-03-21T15:00:00Z,55533957137464933290196211705835266422229072883604545139508878784729659453667,YES
epl,Fulham FC vs. Burnley FC,253464,1530243,Will Fulham FC vs. Burnley FC end in a draw?,3800.7816,37.199996999999996,2026-03-21T15:00:00Z,60931977336265995112725298387860786608443380841131230738721547737597441231440,NO
epl,Fulham FC vs. Burnley FC,253464,1530248,Will Burnley FC win on 2026-03-21?,2754.1501,,2026-03-21T15:00:00Z,111387501328662145897103162600496351393235879641274336060199507793806731099077,YES
epl,Fulham FC vs. Burnley FC,253464,1530248,Will Burnley FC win on 2026-03-21?,2754.1501,,2026-03-21T15:00:00Z,96244402410252787635355732169781815954820818766324059913435591149410346442816,NO
lal,Deportivo Alavés vs. Villarreal CF,236324,1463928,Will Deportivo Alavés win on 2026-03-13?,385154.7647,31157.512549,2026-03-13T20:00:00Z,20893137374710954151401739368173702855784950337521949657086259029802619532488,YES
lal,Deportivo Alavés vs. Villarreal CF,236324,1463928,Will Deportivo Alavés win on 2026-03-13?,385154.7647,31157.512549,2026-03-13T20:00:00Z,71912777568078491390794531032171774319775966352239411229737342036904790670131,NO
lal,Deportivo Alavés vs. Villarreal CF,236324,1463930,Will Deportivo Alavés vs. Villarreal CF end in a draw?,378769.4307,12018.888524999997,2026-03-13T20:00:00Z,19735231474405151954242016613131382807571504732725866817094303532644910558498,YES
lal,Deportivo Alavés vs. Villarreal CF,236324,1463930,Will Deportivo Alavés vs. Villarreal CF end in a draw?,378769.4307,12018.888524999997,2026-03-13T20:00:00Z,57981294014672290097273975473716388304839313073861668897544379002291714952298,NO
lal,Deportivo Alavés vs. Villarreal CF,236324,1463932,Will Villarreal CF win on 2026-03-13?,402254.4569,260370.3621440005,2026-03-13T20:00:00Z,33333125574953505042014572663065796133539712143996059145716404099571082268669,YES
lal,Deportivo Alavés vs. Villarreal CF,236324,1463932,Will Villarreal CF win on 2026-03-13?,402254.4569,260370.3621440005,2026-03-13T20:00:00Z,8990484012998797620583490205213873456908470133668444274233335297288422693353,NO
lal,Deportivo Alavés vs. Villarreal CF - More Markets,236402,1464202,Deportivo Alavés vs. Villarreal CF: Both Teams to Score,27072.5959,5663.289192000003,2026-03-13T20:00:00Z,17919890192630629246755692892013225052287230301386083078087214586573467519187,YES
lal,Deportivo Alavés vs. Villarreal CF - More Markets,236402,1464202,Deportivo Alavés vs. Villarreal CF: Both Teams to Score,27072.5959,5663.289192000003,2026-03-13T20:00:00Z,49365628575222330808894544226792127422887730531202907107733105526836537956940,NO
